id,title,cited_by_count,field,domain
https://openalex.org/W3009611621,Rescaling social care services: The case of district municipalities in Istanbul,4,Social Sciences,Social Sciences
https://openalex.org/W2977797502,RUH SAĞLIĞI ALANINDA SOSYAL HİZMET UZMANLARININ ROL VE SORUMLULUKLARI,3,Social Sciences,Social Sciences
https://openalex.org/W3037234313,Refah Sisteminin Dönüşümü Sürecinde Bakım Politikalarının Yörüngesi: Muhafazakâr Refah Rejimi Temelinde Bir Değerlendirme,4,Social Sciences,Social Sciences
https://openalex.org/W4294190139,Change in Social Protection Regime for Migrants in Turkey and Its Effects on Labor Markets,0,Social Sciences,Social Sciences
https://openalex.org/W2957281804,Turkish Social Work Sector in Post 1990s,0,Social Sciences,Social Sciences
https://openalex.org/W335244785,Turkiye de iyi isler,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W1996520691,Development of Social Services and Psychiatric Social Work in Turkey,1,Social Sciences,Social Sciences
https://openalex.org/W2793949556,CHANGES IN VALUES AND ITS RELATIONSHIP WITH SUBJECTIVE WELFARE (CASE STUDY OF THREE GENERATIONS IN IRAN),0,Social Sciences,Social Sciences
https://openalex.org/W124601478,Turkish speaking mothers in Hackney: an investigation of needs and use of health provision and a trial of a volunteer visiting scheme for first-time mothers.,1,Social Sciences,Social Sciences
https://openalex.org/W2003385293,EFFECTS OF CUSTOM UNION ON TURKEY'S SOCIAL WELFARE,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4387317085,Aging and Social Protection in a Familialist Welfare Regime: Elderly Poverty and Social Pensions in Turkey,2,Social Sciences,Social Sciences
https://openalex.org/W2115422664,THE ASPECT OF SOCIAL SERVICES IN TURKEY,0,Social Sciences,Social Sciences
https://openalex.org/W2154928840,THE EFFECT OF TECHNOLOGICAL PRODUCTION AND USAGE OF HIGH-TECH GOODS TO THE WELFARE OF A COUNTRY: COMPARISON OF FINLAND AND TURKEY,1,Social Sciences,Social Sciences
https://openalex.org/W2221057606,Welfare needs of Turkish and Kurdish communities in London: a community based research project,4,Social Sciences,Social Sciences
https://openalex.org/W3124077638,Towards sustainable lignite consumption in Turkey and a welfare analysis,0,Environmental Science,Physical Sciences
https://openalex.org/W2055390710,Privatization of Social Security System and Its Consequences: The Turkish Case,0,"Business, Management and Accounting",Social Sciences
https://openalex.org/W2945304346,"ACTORS IN THE DISTRIBUTION OF WELFARE: POLITICS, ECONOMY, AND CULTURE",0,Social Sciences,Social Sciences
https://openalex.org/W3217490698,No common ground? Public knowledge about welfarespending in Turkey and its social divisions,0,Social Sciences,Social Sciences
https://openalex.org/W2271880544,HOMELESS PEOPLE IN TURKEY AND SOCIAL WORK INTERVENTIONS,0,Health Professions,Health Sciences
https://openalex.org/W2922648651,The Southern European Model in Welfare Regime Types and a Comparison Among The Health Care Provisions in Italy and Turkey,0,Social Sciences,Social Sciences
https://openalex.org/W3146970995,Homeless People In Turkey And Social Work Interventions,0,Health Professions,Health Sciences
https://openalex.org/W1780071025,The Effects of Population Growth on Social Welfare In LDC’s and Turkey,0,Social Sciences,Social Sciences
https://openalex.org/W2490994454,Social Safety Nets in Southern Europe,0,Social Sciences,Social Sciences
https://openalex.org/W3114428288,Institutions and Individuals: Social Policies in Contemporary Turkey,1,Social Sciences,Social Sciences
https://openalex.org/W4367680460,"Erdem Yörük, The Politics of the Welfare State in Turkey: How Social Movements and Elite Competition Created a Welfare State. Ann Arbor, MI: University of Michigan Press, 2022. xvi + 221 pages.",1,Social Sciences,Social Sciences
https://openalex.org/W3120406466,QUALITATIVE STUDY IN TURKEY: WHO ARE THE SOCIAL WORKERS?,1,Social Sciences,Social Sciences
https://openalex.org/W4389618319,Negotiating Social Protection and Care: A Study of First-Generation Older Turkish Community in London,0,Social Sciences,Social Sciences
https://openalex.org/W2346875204,Türkiye’de Kadın İstihdamı ve Sosyal Refah Uygulamaları,0,Social Sciences,Social Sciences
https://openalex.org/W2140456270,Social Welfare Practices of the State and NGOs in Turkey: New Trends and Necessities,4,Social Sciences,Social Sciences
https://openalex.org/W2953495697,The Relationship Between Social Welfare and Taxation in The Context of Welfare Economics: Evaluation of Turkish Revenue Tax,1,Social Sciences,Social Sciences
https://openalex.org/W2777549184,The Place and Importance of Foundations in Ottoman,0,Arts and Humanities,Social Sciences
https://openalex.org/W2468147931,Social Policy for Education: Assessing Needs of Turkey,0,Social Sciences,Social Sciences
https://openalex.org/W4301395158,A gendered analysis of trends in the faith‐based provision of social services: Evidence from Egypt and Turkey,0,Social Sciences,Social Sciences
https://openalex.org/W4296112398,Appendix B: Social protection institutions and coverage,0,Social Sciences,Social Sciences
https://openalex.org/W4295932795,Bibliography,0,Social Sciences,Social Sciences
https://openalex.org/W2605705734,A Multilevel Analysis of Individuals' Attitudes Toward Welfare State Responsibilities,0,Social Sciences,Social Sciences
https://openalex.org/W4296113135,Appendix A: Lebanon country profile,0,Social Sciences,Social Sciences
https://openalex.org/W4380304496,Access to welfare policies by immigrants: comparing centralized and decentralized governance in the examples of Turkey and Spain,1,Social Sciences,Social Sciences
https://openalex.org/W2291729582,"Understanding Social Work In The Development Plans: Where We Were, Where We Are Now",0,Social Sciences,Social Sciences
https://openalex.org/W2253435251,Social Welfare Objectives and Distribution Weights in Public Health Planning in Turkey,3,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2301218824,Comparison of Frames for Choosing a Social Welfare Function,0,Social Sciences,Social Sciences
https://openalex.org/W2342394725,Social Welfare Provision at Local Level: A Case Study on Istanbul Metropolitan Municipality,0,Social Sciences,Social Sciences
https://openalex.org/W2913883174,The role of intergroup relations and emotion in predicting the deservingness of welfare aid,0,Social Sciences,Social Sciences
https://openalex.org/W1509314001,Faith-based organisations and Social Exclusion in Sweden,4,Social Sciences,Social Sciences
https://openalex.org/W2605399955,SOCIAL MUNICIPALISM APPLICATIONS IN TURKEY: A COMPARATIVE EVALUATION BETWEEN THE MUNICIPALITIES OF KEÇİÖREN and MERAM,0,Social Sciences,Social Sciences
https://openalex.org/W2804961001,Specialized Social Services Offered to Individuals Living with Rare Disease in the World,0,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://openalex.org/W3122433715,TÜRKİYE’DE SAĞLIK HİZMETLERİ VE HASTANELERE ERİŞEBİLİRLİĞİN MEKANSAL PROFİLİ: SOSYAL REFAH AÇISINDAN BİR ANALİZ,0,Health Professions,Health Sciences
https://openalex.org/W4312577624,Notes on contributors,0,Social Sciences,Social Sciences
https://openalex.org/W4312433479,Index,0,Social Sciences,Social Sciences
https://openalex.org/W204060211,Political determinants of sub-national social spending: a statistical analysis of metropolitan municipality budgets in Turkey,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4312227690,Front Matter,0,Social Sciences,Social Sciences
https://openalex.org/W3098682353,"The Immigration-Emigration Nexus in Non-EU Sending States: A Focus on Welfare Entitlements, Consular Services, and Diaspora Policies",2,Social Sciences,Social Sciences
https://openalex.org/W2478801450,A philosophy of social service: faith or social insurance?,0,Social Sciences,Social Sciences
https://openalex.org/W4322584034,Elderly Services Policies of Emerging Markets withinside the Context of Silver Economy (The Case of the Ministry of Family and Social Services of the Republic of Türkiye),0,Health Professions,Health Sciences
https://openalex.org/W4224988999,An Evaluation on R&amp;D Incentive Policies in the European Union and Turkey,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2734394617,The Hashemite Kingdom of Jordan,7,Social Sciences,Social Sciences
https://openalex.org/W2941327470,DENETİMLİ EBEVEYN-ÇOCUK GÖRÜŞMESİ PROGRAMLARI,0,Psychology,Social Sciences
https://openalex.org/W3122900563,Why exporting countries agree voluntary export restraints: The oligopolistic power of the foreign supplier,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4285727233,PUBLIC SOCIAL ASSISTANCE AND SOCIAL SERVICES FOR PEOPLE WITH DISABILITIES,1,Social Sciences,Social Sciences
https://openalex.org/W3125744861,Social discount rates and welfare weights for public investment decisions under budgetary restrictions – the case of Cyprus,2,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2530478303,Türkiye'de sosyal hizmetlerin dönüşümü,3,Social Sciences,Social Sciences
https://openalex.org/W2754648544,Young People Called „Unaccompanied Minors“ and European Welfare States: A brief introduction to this special issue,6,Psychology,Social Sciences
https://openalex.org/W2289203280,What is The Main Reason of Poverty and What Can Be Done for The Elimination of Poverty from The Point of Families Who Get Social and Economic Support,0,Social Sciences,Social Sciences
https://openalex.org/W2974406610,Linking humanitarian assistance to social protection in MENA: the case of Syrian child refugees,0,Social Sciences,Social Sciences
https://openalex.org/W2331544036,"Social Municipality Perception in Turkey: A Case Study in the Istanbul, Izmir, Adana, Diyarbakır Metropolitan Municipalities",0,Social Sciences,Social Sciences
https://openalex.org/W2784978210,Sosyal Risk Altındaki Çocuklar İçin Sosyal Hizmetler: 2000 Sonrasına İlişkin Bir Değerlendirme,0,Social Sciences,Social Sciences
https://openalex.org/W2919035044,Community centers of local governments for retirees: The case of Istanbul,2,Social Sciences,Social Sciences
https://openalex.org/W4283213625,The State and Revolutions. Part VI. The political and legal stability as the base of the social welfare,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4386845218,Improving the good in good organisations: How can the potential negative social impacts of social enterprises be better managed?,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2989075810,Welfare Index of Migrant Workers in the Gulf: the Case of Qatar,8,Social Sciences,Social Sciences
https://openalex.org/W4383897626,Data Modeling and Simulation for Local Energy Marketplace,1,Engineering,Physical Sciences
https://openalex.org/W4379984609,Blockchain-based Local Energy Marketplace Agent-Based Modeling and Simulation,5,Engineering,Physical Sciences
https://openalex.org/W2133724716,Public Awareness of the Role of Civic Organizations in Qatar,0,Social Sciences,Social Sciences
https://openalex.org/W3111227049,Welfare Index of Migrant Workers: The Case of Qatar,0,Social Sciences,Social Sciences
https://openalex.org/W2177977537,Aftercare Programs In Qatar: The Path To Social Integration,0,Health Professions,Health Sciences
https://openalex.org/W2001072693,Playgrounds and Penny Lunches in Palestine: American Social Welfare in the Yishuv,19,Social Sciences,Social Sciences
https://openalex.org/W774402945,UNRWA – United Nations Relief And Works Agency For Palestine Refugees In The Near East,10,Social Sciences,Social Sciences
https://openalex.org/W2996452384,Social Work Between Germany and Mandatory Palestine: Pre- and Post-Immigration Biographies of Female Jewish Practitioners as a Case Study of Professional Reconstruction,2,Arts and Humanities,Social Sciences
https://openalex.org/W2163855660,Obstacles Encountering Welfare Services to Palestine Refugees and Strategies to Overcome Them: A Social Work Perspective,0,Psychology,Social Sciences
https://openalex.org/W4286229194,From Germany to Palestine,1,Social Sciences,Social Sciences
https://openalex.org/W4313572834,Jewish Social Work Biographies between Germany and Mandatory Palestine,1,Arts and Humanities,Social Sciences
https://openalex.org/W146532536,Evaluating the Professional Practice of International Social Work vis-à-vis Confronting Obstacles that Limit the Palestine Refugees' Benefit from Social Welfare Services,0,Psychology,Social Sciences
https://openalex.org/W2766365231,Social Enterprises in Palestine: A Critical Analysis,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4206022573,Child,0,Social Sciences,Social Sciences
https://openalex.org/W2479965683,Structural Reform and the Political Economy of Poverty Reduction in Tunisia: What Role for Civil Society?,0,Social Sciences,Social Sciences
https://openalex.org/W2168993665,The Cost of Vigilance in Israel: Linking the Economic and Social Costs of Defense,6,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2118974541,Social Security Programmes in the West Bank and Gaza Strip: Challenges for the new Palestine,4,Social Sciences,Social Sciences
https://openalex.org/W2477933009,Global and Regional Agencies and the Making of Post-Communist Social Policy in Eastern Europe,9,Social Sciences,Social Sciences
https://openalex.org/W2494798635,‘Popular social work’ in the Palestinian West Bank: dispatches from the front line,1,Social Sciences,Social Sciences
https://openalex.org/W3092855238,Satisfaction of the families of Palestinian martyrs from the role of foundation for the welfare of the families of Palestinian martyrs and the wounded in Ramallah and Al-Beireh governorate (2016-2000),0,Social Sciences,Social Sciences
https://openalex.org/W4378904729,Citizens' Satisfaction With Non-Cash Food Assistance,0,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W3034599079,SOCIAL AND ECONOMIC EMPOWERMENT OF KUBE e-WARONG PKH,0,Social Sciences,Social Sciences
https://openalex.org/W2752207193,"Private loss, public gain : orphans in Malawi",0,Social Sciences,Social Sciences
https://openalex.org/W3111337988,There and Back Again: A Commentary on Social Welfare Policy in the Wake of 2020,31,Health Professions,Health Sciences
https://openalex.org/W3121592188,Bricks and Mortar Clientelism: Sectarianism and the Logics of Welfare Allocation in Lebanon,175,Social Sciences,Social Sciences
https://openalex.org/W1499463174,The Politics of Non-state Social Welfare,244,Social Sciences,Social Sciences
https://openalex.org/W2099987834,Religion and Social Welfare in the Lebanon: Treating the Causes or Symptoms of Poverty?,27,Social Sciences,Social Sciences
https://openalex.org/W3124210252,Partisan Activism and Access to Welfare in Lebanon,77,Social Sciences,Social Sciences
https://openalex.org/W2131383330,A Profile of Social Welfare in Lebanon,18,Social Sciences,Social Sciences
https://openalex.org/W2063872868,BRICKS AND MORTAR CLIENTELISM: Sectarianism and the Logics of Welfare Allocation in Lebanon.,81,Social Sciences,Social Sciences
https://openalex.org/W2078182451,Human Ethics and Welfare Particularism: An Exploration of the Social Welfare Regime in Lebanon,9,Social Sciences,Social Sciences
https://openalex.org/W656151715,Social welfare and religion in the Middle East: A Lebanese perspective,61,Social Sciences,Social Sciences
https://openalex.org/W2979394402,Family Associations in Lebanon,13,Social Sciences,Social Sciences
https://openalex.org/W2272464799,Sectarianism and the Ambiguities of Welfare in Lebanon,40,Social Sciences,Social Sciences
https://openalex.org/W2468803364,Older adult care in Lebanon: towards stronger and sustainable reforms.,24,Health Professions,Health Sciences
https://openalex.org/W1985725932,"Explaining Lebanese Shii adherence to Hezbollah: alienation, religiosity and welfare provision",6,Social Sciences,Social Sciences
https://openalex.org/W1993593992,Towards a model for the provision of comprehensive services for non-English speaking communities,7,Psychology,Social Sciences
https://openalex.org/W3014349875,"Religious Welfare Organizations, Citizenship, and the State in Lebanon",7,Social Sciences,Social Sciences
https://openalex.org/W3128198422,Navigating welfare regimes in divided societies: Diversity and the quality of service delivery in Lebanon,5,Social Sciences,Social Sciences
https://openalex.org/W2479559544,Samidoun: grassroots welfare and popular resistance in Beirut during the 33-Day War of 2006,1,Social Sciences,Social Sciences
https://openalex.org/W2071670919,Starting Over From Scratch,2,Psychology,Social Sciences
https://openalex.org/W2537800702,Rethinking Lebanese Welfare in Ageing Emergencies,3,Social Sciences,Social Sciences
https://openalex.org/W2096955760,Partisan Activism and Access to Welfare in Lebanon,18,Social Sciences,Social Sciences
https://openalex.org/W2138565552,Emergency centers in Israel: A small community organizes to cope with war related crises*,1,Health Professions,Health Sciences
https://openalex.org/W2314502683,Private Voluntary Associations and Islam in Globalizing Egypt,1,Social Sciences,Social Sciences
https://openalex.org/W3102338354,"Access to Social Protection by Immigrants, Emigrants and Resident Nationals in Lebanon",2,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4254560713,Child Welfare in Lebanon,0,Social Sciences,Social Sciences
https://openalex.org/W2482185103,Social ethics and welfare particularism,0,Social Sciences,Social Sciences
https://openalex.org/W3208674814,"Harakat Amal: Social Mobilization, Economic Resources, Welfare Provision",1,Social Sciences,Social Sciences
https://openalex.org/W2606710070,"Analyzing Socio-Spatial Processes of Integration and Disintegration by Examining the Local Housing Market: A Case Study of Beirut, Lebanon",1,Social Sciences,Social Sciences
https://openalex.org/W2941576715,Older adult care in Lebanon: Towards stronger and sustainable reforms,0,Social Sciences,Social Sciences
https://openalex.org/W2041592883,"Social coverage, solidarity and promoting the rights of the elderly people",0,Health Professions,Health Sciences
https://openalex.org/W4251913280,Women·s Social Welfare Activities in South Lebanon,0,Social Sciences,Social Sciences
https://openalex.org/W3186754020,Services to Children and Families in Lebanon,0,Health Professions,Health Sciences
https://openalex.org/W4230643406,Anissa Najjar,0,Social Sciences,Social Sciences
https://openalex.org/W3014396183,Zahia Salman: Promoter of Child Welfare in Lebanon,0,Social Sciences,Social Sciences
https://openalex.org/W2503422796,Systems of provision and welfare outcomes: defining and treating the causes of poverty,0,Social Sciences,Social Sciences
https://openalex.org/W2483514176,Citizens’ Response to Poor Performance and Unresponsive Institutions?: Lower Trust,0,Social Sciences,Social Sciences
https://openalex.org/W2042390155,'Un ane dans l'ascenseur': late colonial welfare services and social housing in Marseille after decolonization,8,Social Sciences,Social Sciences
https://openalex.org/W2320345651,"Immigrants, Natives and the French Welfare State: Explaining Different Interactions with a Social Welfare Program",12,Social Sciences,Social Sciences
https://openalex.org/W3157020440,Social Security Enrollment as an Indicator of State Fragility and Legitimacy: A Field Experiment in Maghreb Countries,10,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2994503526,"The Centre d'Accueil Nord-Africain: social welfare and the ‘problem' of Muslim youth in Marseille, 1950–1975",2,Social Sciences,Social Sciences
https://openalex.org/W4319603210,War and Welfare in Colonial Algeria,7,Social Sciences,Social Sciences
https://openalex.org/W3179051415,Social Security Enrollment as an Indicator of State Fragility and legitimacy: A Field Experiment in Maghreb Countries,4,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2504675517,Services and Surveillance,0,Arts and Humanities,Social Sciences
https://openalex.org/W4282965212,A “Capital of Hope and Disappointments”,1,Social Sciences,Social Sciences
https://openalex.org/W1561975507,IMPACT OF IMPORT DEMAND ON SOCIAL WELFARE OF MAIN WHEAT IMPORTING COUNTRIES,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3093096550,الرعاية الاجتماعية و تطورها التاريخي,0,Social Sciences,Social Sciences
https://openalex.org/W2970573996,Quality of Life and Welfare Economy (A Case on Algeria),0,Social Sciences,Social Sciences
https://openalex.org/W2774118886,The Effectiveness and the Scope of the Algerian Social Welfare Systems Concerning Pensions,0,Health Professions,Health Sciences
https://openalex.org/W2948213748,دور استثمار أموال الوقف في دعم وتحقيق التنمية الاقتصادية والاجتماعية -دراسة حالة الجزائر-,0,Social Sciences,Social Sciences
https://openalex.org/W2992422657,Blind Studentsâ€™ Attitudes towards the Effectiveness of Services of Disability Services Center at Islamic University of Gaza,1,Health Professions,Health Sciences
https://openalex.org/W2078061718,"Gasoline demand, pricing policy and social welfare in the Islamic Republic of Iran",25,Energy,Physical Sciences
https://openalex.org/W2519714885,The implications of market structure and bank efficiency on social welfare: the case of the Saudi Arabian banking system,6,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W1554410221,Wagner’s law and social welfare: The case of the kingdom of Saudi Arabia,7,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3108760867,The Role of Zakat in Establishing Social Welfare and Economic Sustainability: The Case of Saudi Arabia,12,"Business, Management and Accounting",Social Sciences
https://openalex.org/W2799329362,Women and social services in Saudi Arabia,1,Social Sciences,Social Sciences
https://openalex.org/W3107208782,VOLATILITY OF OIL PRICES AND PUBLIC SPENDING IN SAUDI ARABIA: SENSITIVITY AND TREND ANALYSIS,5,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3088850885,Factors Influencing Citizen's Adoption of M-government: The Case of Saudi Arabia,4,Social Sciences,Social Sciences
https://openalex.org/W3123471426,The Impact of Foreign Direct Investment on Dynamic Net Social Welfare in Saudi Arabia - A quantifying macroeconomic approach- Time Series Analysis,1,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2984280359,A COMPARATIVE REVIEW OF INDIAN AND SAUDI ARABIAN SOCIAL WELFARE SCHEMES,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3149074559,WAGNER’S LAW AND SOCIAL WELFARE: THE CASE OF THE KINGDOM OF SAUDI ARABIA,11,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4388731802,"The role of the governance of social welfare institutions in reducing abuse from the point of view of the abused: A study applied to vulnerable women in the governorate of Riyadh Region, Saudi Arabia",0,Social Sciences,Social Sciences
https://openalex.org/W2922425852,"The role of the governance of social welfare institutions in reducing abuse from the point of view of the abused: A study applied to vulnerable women in the governorate of Riyadh Region, Saudi Arabia",0,Social Sciences,Social Sciences
https://openalex.org/W2096336935,Social Values and Planning,0,Social Sciences,Social Sciences
https://openalex.org/W2258197917,"The Saudi trinity: oil, God and security",0,Social Sciences,Social Sciences
https://openalex.org/W2982559648,Investigating Social Media Utilization and Challenges in the Governmental Sector for Crisis Events,0,Social Sciences,Social Sciences
https://openalex.org/W112838078,The Welfare State as a Valuable Work-in-Progress FOR UM: T HE VA LUE OF T HE W ELF A RE ST AT E,0,Social Sciences,Social Sciences
https://openalex.org/W4242946573,"Education, Health, Youth Welfare, Social Services and Justice",0,Social Sciences,Social Sciences
https://openalex.org/W2488814094,"Education, Health, Youth Welfare, Social Services and Justice",0,Social Sciences,Social Sciences
https://openalex.org/W3121697006,A Proposed Program to Improve Quality of life for the Orphans at Social Care Homes,2,Social Sciences,Social Sciences
https://openalex.org/W4390509604,Privacy Considerations of Location Tracking in Social Welfare Applications,0,Computer Science,Physical Sciences
https://openalex.org/W3013396025,Social Media Enhances Consumer Behaviour During e-Transactions: An Empirical Evidence from Bahrain,8,Social Sciences,Social Sciences
https://openalex.org/W3090522940,Social Impact of IVF (After COVID-19 Pandemic and New Normal),1,Medicine,Health Sciences
https://openalex.org/W4240243009,Social Welfare Activities in Bahrain,0,"Business, Management and Accounting",Social Sciences
