id,title,domain
W2056980302,Religious Ethic and the Spirit of Capitalism in Tunisia,Social Sciences
W2954532083,Qom After Islamic Neoliberalism: A Narrative of the City in Limbo,Social Sciences
W1934225770,"The conflicts of a 'peaceful' diaspora: identity, power and peace politics among Cypriots in the UK and Cyprus",Social Sciences
W2306647445,Identification of Resistance to <i>Pratylenchus neglectus</i> and <i>Pratylenchus thornei</i> in Iranian Landrace Accessions of Wheat,Life Sciences
W2527790444,SuperDaech. Un scénario du pire,Social Sciences
W2921296554,The Cyprus Conflict and the Ambiguous Effects of Europeanization,Social Sciences
W4290835795,Copyright Page,Social Sciences
W4318616020,Application of the environmental pillar within the world-class manufacturing methodology for the purpose of achieving environmental sustainability,Social Sciences
W2027551024,&lt;i&gt;Ignatius of Antioch and the Parting of the Ways: Early Jewish-Christian Relations&lt;/i&gt; (review),Social Sciences
W4361001059,"Climate change, the Arab Spring, and COVID-19 impacts on landcover transformations in the Levant",Physical Sciences
W2078997923,The Ultrasonic Picture Show and the Politics of Threatened Life,Health Sciences
W4214501799,"The Relationship between Social Exchange Variables and In-Role Performance, Organizational Citizenship Behavior, and Commitment: Evidence from Israeli Community Centers",Social Sciences
W4214625540,"Shared visions for marine spatial planning: Insights from Israel, South Africa, and the United Kingdom",Physical Sciences
W2244776881,National Security Decision-Making in Iran,Social Sciences
W4386969647,"Knowledge, attitude, and practices toward osteoporosis among Jordanian nurses",Health Sciences
W2011470121,"A Study on Hierarchical/Normative Order, Marriage and Family Patterns in Bin Yousuf Tribe of Southeastern Turkey",Social Sciences
W2275980771,The “Islamism” of Yesterday and Today,Social Sciences
W3183216083,Trajectories of alcohol misuse among the UK Armed Forces over a 12‐year period,Social Sciences
W1513026900,Effective Institutional Arrangement in Rural Development: Malaysia,Life Sciences
W4229458451,"Effects of sociodemographic background on fertility motivation patterns in the Beni-Suef governorate, Upper Egypt",Social Sciences
W2013952082,"The Impact of Human Resource Management Practices, Organisational Culture, Organisational Innovation and Knowledge Management on Organisational Performance in Large Saudi Organisations: Structural Equation Modeling With Conceptual Framework",Physical Sciences
W4312818897,A Plague of Biblical Proportions,Social Sciences
W2739830207,Patterns and Micro-Drivers of International Emigration in Nigeria,Social Sciences
W2511404911,The condition of Iraq puts our worries in perspective,Health Sciences
W2492478494,Situating the Gulf States in the Global Economic Redrawing: GCC-BICs Relations,Social Sciences
W144341431,TURKEY AND THE RESCUE OF JEWS DURING THE NAZI ERA: A REAPPRAISAL OF TWO CASES; GERMAN-JEWISH SCIENTISTS IN TURKEY & TURKISH JEWS IN OCCUPIED FRANCE,Social Sciences
W2923077257,Challenges of Iranian national health scientific map.,Social Sciences
W2066592365,The role of early life factors in the development of ethnic differences in growth and overweight in preschool children: a prospective birth cohort,Health Sciences
W2068161425,Inbreeding and its effect on some productive traits in buffaloes of South Iran,Life Sciences
W3012379750,"IIB. Knowledge of Goa/Plans: A Conceptual Basis for Narrating Frog, where are you?",Social Sciences
W2996294320,Modern Piracy: New Avatar of Globalization,Social Sciences
W4319593555,The Marginalization of the Mizrahim: Jewish Syndicalism in the Context of Settler-Colonial Zionism in Palestine before 1948,Social Sciences
W1971048337,"Bush's “Useful Idiots”: 9/11, the Liberal Hawks and the Cooption of the “War on Terror”",Social Sciences
W4387194715,Comparative Dimensions of Teaching in Austria and in Israel: Holocaust Education Using Primary Sources,Social Sciences
W1965965934,Lawlessness and economic governance: the case of <i>hawala</i> system in Somalia,Social Sciences
W2065636553,Species delimitation and digit number in a <scp>N</scp>orth <scp>A</scp>frican skink,Physical Sciences
W2799278504,The effect of the binary space and social interaction in creating an actual context of understanding the traditional urban space,Social Sciences
W4206189345,"Alcohol- and cigarette-use-related behaviors across gender, dysfunctional COVID-19 anxiety, and the presence of probable ADHD during the pandemic: A cross-sectional study in a sample of Turkish young adults",Health Sciences
W1968429502,Turkey: Redrawing the Middle East Map Or Building Sandcastles?,Social Sciences
W2072919432,Prevalence and sequelae of sexual torture,Social Sciences
W2972097034,The Oxford Handbook of Max Weber,Social Sciences
W2113280680,Lack of Knowledge of a Culture’s Social Axioms and Adaptation Difficulties among Immigrants,Social Sciences
W4251459600,No. 51831. Turkey and China,Social Sciences
W4388340709,Adaptation in Educational Management for International Students in Hosting Countries: An Overview of Gulf Countries,Social Sciences
W2809858883,Education and Change in the Late Ottoman Empire and Turkey,Social Sciences
W3031153863,Smoking and the risk of COVID-19 in a large observational population study,Health Sciences
W2412412843,"Broadway without Borders: Eve Ensler, Lynn Nottage, and the Campaign to End Violence against Women in the Democratic Republic of Congo",Social Sciences
W643955097,Social Work Leadership in Healthcare: Director's Perspectives,Health Sciences
W1041760378,The Theory of Conflict Resolution and the Practice of Peacekeeping,Social Sciences
W2089937041,Inter-primer binding site retrotransposon and inter-simple sequence repeat diversity among wild Lens species,Life Sciences
W2099414018,"The Contribution of Family Culture to Political Participation, Political Outlook, and Its Reproduction",Social Sciences
W2076853609,An exploratory study of the relevance of trans-national global information systems to small and medium enterprises: evidence from Egypt,Social Sciences
W3034609574,Designing an Integrated Sustainable Supply Chain Model and its Impact on Global Competitiveness Performance by Case Study of the Turkish Pharmaceutical Industry,Social Sciences
W2014930145,La normalisation du passé ? La république fédérale d'Allemagne et le problème juif,Social Sciences
W2145569510,Myopia Risk Factors,Health Sciences
W2061840133,Preoccupation with Weight and Eating Patterns of Lebanese and Cypriot Female Students,Social Sciences
W3007378909,Konsociačný model ako politické riešenie pri demograficky heterogénnych štátoch,Social Sciences
W2591384915,"Risk perception and awareness of oil and natural gas safety among local populations in the eastern province of Jubail, Saudi Arabia",Social Sciences
W3148627529,"MFN Status, Trade Embargoes, Sanctions and Blockades: An Examination of Some Overlooked Property, Contract and Other Human Rights Issues",Unknown
W1561884345,The Fate of Saudi Arabia: Regime Evolution in the Saudi Monarchy,Social Sciences
W2493239362,Repatriates Narrate the Colonial Past,Social Sciences
W4301186694,Genetic relations among Moroccan Opuntia genotypes with different degrees of resistance to Dactylopius opuntiae,Life Sciences
W3082610223,The Team Process: Insights from the LEAD Experience,Social Sciences
W1964509542,The Language Planning Situation in Algeria,Social Sciences
W390850648,The Sabra: The Creation of the New Jew,Social Sciences
W3183131158,"Medication safety knowledge, attitude, and practice among hospital pharmacists in tertiary care hospitals in Saudi Arabia: a multi-center study",Health Sciences
W2808247226,Qualitative Characteristics of Financial Reporting and Non-Financial Business Performance,Social Sciences
W2046967415,Religious Leaders and Family Planning in Iran,Social Sciences
W82423840,The Malaria Transition on the Arabian Peninsula: Progress toward a Malaria-Free Region between 1960–2010,Health Sciences
W3115045130,The Legacies of the Red Army Faction in Germany,Social Sciences
W179612297,What happened in Qana,Social Sciences
W4303857387,The Relationship between Perceived Organisational Support and Creative Performance of Employees: A Study from the Public Sector in Syria,Physical Sciences
W1596415511,Evaluation of Genetic Diversity among South Tunisian Pomegranate (Punica granatum L.) Accessions Using Fruit Traits and RAPD Markers,Health Sciences
W3177986627,A quasi-experimental study to improve health service quality: implementing communication and self-efficacy skills training to primary healthcare workers in two counties in Iran,Health Sciences
W4293078743,“We Don’t Aspire to Be Netflix”: Understanding Content Acquisition Practices Among Niche Streaming Services,Social Sciences
W2291073860,[A study of contraceptive practice in Algeria 1967-1987],Health Sciences
W3122335087,A Basic Package of Health Services for Post-Conflict Countries: Implications for Sexual and Reproductive Health Services,Social Sciences
W4361029108,Judicial Bookshelf,Social Sciences
W2920981619,A Viewpoint toward Empowering and Entrepreneurship of Rural Women in Iran: Situations and Problems,Social Sciences
W4286219894,"Juvenile Parasagitta setosa (J. Müller, 1847) (Chaetognatha) from Shallow Waters of the Southern Black Sea: Temporal Size Structure, Gonad Maturity, and Gut Content",Physical Sciences
W1903903206,Normative Power Europe and the Power of the Local,Social Sciences
W2047269469,Traversing the fantasies of urban destruction: Ruin gazing in Varosha,Social Sciences
W2059370145,Film-viewing in Turkish and Moroccan diasporic families: a gender and place perspective,Social Sciences
W4238993110,Assessing Benefit Portability for International Migrant Workers: A Review of the France-Morocco Bilateral Social Security Agreement,Social Sciences
W2567407965,Sustainable and Inclusive Finance in Turkey,Social Sciences
W2611453019,Tensions in Post-Coup-Attempt Turkey,Social Sciences
W2903410826,"Duke Shaul. The Stratifying Trade Union. The Case of Ethnic and Gender Inequality in Palestine, 1920–1948. Palgrave Macmillan, Basingstoke [etc.]2018. xvii, 312 pp. Ill. $99.99; € 90.09. (E-book: $79.99; € 69.99.)",Social Sciences
W4389509294,Afropean Female Selves. Migration and Language in the Life Writing of Fatou Diome and Igiaba Scego by Christopher Hogarth (review),Social Sciences
W3172660866,Nursing vs Aging in Asia: A Sociological Appraisal,Social Sciences
W4386909975,Cancer Incidence and Mortality Estimates in Arab Countries in 2018: a GLOBOCAN Data Analysis,Health Sciences
W2011266251,The Changing Frequency of Multiple Sclerosis in Israel,Health Sciences
W3134285899,"Prevalence, reasons, and determinants of dietary supplements use among undergraduate female students of health and non-health colleges in a Saudi public university",Health Sciences
W4388913974,Preface,Physical Sciences
W4206371372,General Assembly,Social Sciences
W2058921711,Family Relations and the Internet: Exploring a Family Boundaries Approach,Social Sciences
W4307583077,Invalidating the Leadership of Muslim Spiritual Leaders in Death From COVID-And Shaping the Grief Journey – A Narrative Inquiry,Social Sciences
W3163275625,1917: Antisemitism in the Moment of Revolution,Social Sciences
W2986707276,"Factors Associated With Access, Utilization, and Level of Satisfaction With Primary Health Care Services in Hafar Al-batain City of Saudi Arabia",Social Sciences
W634025488,Natural disasters and development in a globalizing world,Social Sciences
W2555181358,"ChaeRan Y. Freeze, Sylvia Fuks Fried, and Eugene R. Sheppard, eds.,The Individual in History: Essays in Honor of Jehuda Reinharz",Social Sciences
W2755800665,Investigating links between cultural orientation and culture outcomes: Immigrants from the former Soviet Union to Israel and Germany,Social Sciences
W2775346989,An Evaluation of the RADIUS Model in Assessing the Damages Caused by Earthquake via GIS (case study Region1 Tehran),Physical Sciences
W2562553730,Assessment of Sorghum Genetic Resources for Genetic Diversity and Drought Tolerance Using Molecular Markers and Agro - morphological Traits,Life Sciences
W570628893,Confronting Fascism in Egypt: Dictatorship versus Democracy in the 1930s,Social Sciences
W1843683783,The public health ramifications of pneumococcal resistance,Health Sciences
W4380886105,Innovation and Development in Sub-Sahara Africa: The Role of Institutional Development and Inter Alia,Physical Sciences
W3143683879,Indicateur synthétique de conjoncture pour le Maroc,Social Sciences
W2401419624,"Factors Influencing Small Scale Farmers’ Attitude and Participation in Formal Financial Markets in Mahikeng Municipality, South Africa",Social Sciences
W4382137371,Community Pharmacies’ Promotion of Smoking Cessation Support Services in Saudi Arabia: Examining Current Practice and Barriers,Health Sciences
W4367187791,The spatio-temporal dynamics of urban growth and population in metropolitan regions of Iran,Physical Sciences
W2790095849,"Comparative Study of Learning Style, Resiliency and Problem Solving Skills in Iranian Chess Players",Social Sciences
W3205472097,Reflections over Syrian Conflict in the Czech Republic,Social Sciences
W2898620504,Five Calendar Effects in the Amman Stock Exchange,Social Sciences
W2808364618,Comparative microscopic observations of arbuscular mycorrhizal fungi after colonization of five Tunisian olive cultivars,Life Sciences
W3205192691,29.6 Parental Involvement and Its Association With the Behavior and Well-Being of Adolescents in Morocco,Health Sciences
W2142467848,The experiences of women of reproductive age regarding health-promoting behaviours: A qualitative study,Health Sciences
W3124676532,Mental Health in Lebanon's Triple-Fold Crisis: The Case of Refugees and Vulnerable Groups in Times of COVID-19,Social Sciences
W2938417009,The Impact of Place Identity in shaping the Design Idea- Analytical Study of the Architectural Students Products – Duhok University,Physical Sciences
W2065972580,"New Clinicoepidemiologic Profile of Cutaneous Leishmaniasis, Morocco",Health Sciences
W2094724134,Attitudes and Motivations for Learning Italian as a Foreign Language in Jordan,Social Sciences
W2318954967,Determinants of educational attainment among adolescents in Egypt: Does school quality make a difference?,Social Sciences
W2949789199,Sacred Rhythms and Political Frequencies: Reading Lefebvre in an Urban House of Prayer,Social Sciences
W2112650356,Prevalence of Commonly Encountered Sexually Transmitted Infections Among Imprisoned Incarcerated Women,Life Sciences
W2765816933,"Measuring spatial proportionality between service availability, accessibility and mobility: Empirical evidence using spatial equity approach in Iran",Social Sciences
W2169597244,"ECONOMICS, CONFLICTS AND INTERCULTURALITY IN A SMALL ISLAND STATE : THE CASE OF MAURITIUS",Social Sciences
W2518748870,CULTURE AND CIVILIZATION OF WEST FROM THE PERSPECTIVE OF KASRAVI,Social Sciences
W3013629340,Alternative Business Models for Start-ups and SMEs in Tunisia with High Potential to Create Jobs for Youth and Women,Social Sciences
W2995607353,Greater health care utilization and cost associated with untreated sleep apnea,Health Sciences
W4388437721,Germanic Religiosity and Social Structure,Social Sciences
W2968361219,Reconceptualising madrasah education : Towards a radicalised imaginary,Social Sciences
W176545178,Reviews,Unknown
W3155964866,"Teacher, It's Not Cheating – It's Cooperation: Academic Integrity in the Arabian Gulf",Social Sciences
W2010577263,Parents’ Experience of Their Child's First Psychiatric Breakdown: “Welcome to Hell”,Social Sciences
W4388268374,Sistanism: An Attempt to Combine Shi’ism with Democracy in Post-2003 Iraq ,Social Sciences
W1973116273,PLACE‐IMAGE AND MEMORIAL DAY IN 1920s AND 1930s PETAH TIKVAH,Social Sciences
W103218633,Ethnic mobilization in an ethno-national state: the case of immigrants from the Former Soviet Union in Israel,Social Sciences
W2039791169,The origin and dissemination of the cultivated almond as determined by nuclear and chloroplast SSR marker analysis,Health Sciences
W6942491,A Case Study of Kuwaiti Girls' Secondary Schools before the Iraqi Invasion of August 1990.,Social Sciences
W1575369665,The changing role of the European Union in international politics after the entry into force of the Lisbon Treaty: the cases of Kosovo and Turkey,Social Sciences
W2981897229,Postlude: Not an End,Social Sciences
W2762178750,Population issues and organized labor in Turkey: initiatives in policy development.,Social Sciences
W3198800010,INTERROGATING THE UNITED NATIONS HUMANITARIAN AND MILITARY INTERVENTIONS AS PANACEA TO THE SYRIAN CRISIS,Social Sciences
W2333848480,Nuclearization of Iran; the Policy of China,Social Sciences
W1657549614,The Spider's House,Social Sciences
W575059791,Triads and trinity,Social Sciences
W4245830955,Israel,Social Sciences
W2008670782,“Strength at Home” Intervention for Male Veterans Perpetrating Intimate Partner Aggression,Social Sciences
W4232678919,Unexpected Trauma,Health Sciences
W3188207508,How Housing Conditions Affect Health: Findings From the Turkish National Household Panel Survey,Social Sciences
W2046476865,Analysis of dust samples from the Middle East using high-density resequencing micro-array RPM-TEI,Life Sciences
W3133792003,A comparative analysis of green logistic activities in German and Turkish textile enterprises,Social Sciences
W2895038526,A Qualitative Study to Determine Expectations of Students Studying at a Faculty of Tourism from Vocational English Course,Social Sciences
W4301698712,"Individual psychology to develop social responsibility, social interest among university of Jordan students",Social Sciences
W2981790813,"Resilient public health in the context of large-scale, drought-related migration in East Africa",Physical Sciences
W1920315022,Turkish patients' decision‐making process in seeking treatment for myocardial infarction,Health Sciences
W2422179487,Malignant Mesothelioma: King Faisal Specialist Hospital and Research Centre Experience,Health Sciences
W4285345573,Becoming a Diaspora: The Kurds and the Kurdish Activists in Denmark,Social Sciences
W3139217158,Environmental survey of medical services activities in Iraq,Health Sciences
W3041710432,Ambiguous specificity: The production of foreign policy bullshit in electoral contexts,Social Sciences
W2334441278,Effect of an Educational Program Based on the Health Belief Model to Reduce Cell Phone Usage During Driving in Taxi drivers,Social Sciences
W2737395005,Causes and solutions for the stagnation of Islamic banking in Turkey,Social Sciences
W2100885951,The prevalence and risk factors of substance use among university students in Turkish Republic of Northern Cyprus,Health Sciences
W2784548675,Discourses of Democracy: 'Oriental Despotism' and the Democratisation of Iraq,Social Sciences
W2004512890,The use of the taxonomy of educational objectives in Turkey,Social Sciences
W2956525461,The Issue of Credibility in Deterrence and Implications of the Israeli Experience for South Korea,Social Sciences
W4387137867,Sociolinguistic Dimensions of Dialect use in the Algerian Education System,Social Sciences
W2100881023,Depression and Bulimia in a Pregnant Woman,Social Sciences
W4206759972,POSA81 Microcosting Approach for Cost of Circumcision in Hemophilia a in Algeria,Health Sciences
W769560077,Section IV. Communal organization and inner communal relations,Social Sciences
W2807357372,Auto-centered development and indigenous technics: Slaheddine el-Amami and Tunisian delinking,Life Sciences
W4245597029,Ethiopia’s ethnic federalism will face strains,Social Sciences
W3195663904,Supporting Teacher Change in an English as a Foreign Language Environment: A Peer-Coaching Study in Turkey<br /> &nbsp;,Social Sciences
W3125101615,Wage Mobility in Israel: The Effect of Sectoral Concentration,Social Sciences
W1995665914,RESTRICTION FRAGMENT LENGTH POLYMORPHISM IN WILD AND CULTIVATED TETRAPLOID WHEAT,Life Sciences
W4323837558,Analysis of the Genetic Distance of Several Generations of Barley (Hordeum valulgare L) by RAPD-PCR Technique,Life Sciences
W1539831012,Identifying Homelessness among Veterans Using VA Administrative Data: Opportunities to Expand Detection Criteria,Health Sciences
W2315442790,"A Case of Imported Identity: The Modernizing Secular Ruling Elites of Iraq and the Concept of Mesopotamian-Inspired Territorial Nationalism, 1922-1992",Social Sciences
W1537684284,"Swedish soldiers in peacekeeping operations : Stress reactions following missions in Congo, Lebanon, Cyprus and Bosnia",Social Sciences
W4313305015,"Review of: From Europe’s East to the Middle East Israel’s Russian and Polish Lineages Philadelphia: University of Pennsylvania Press, 2021",Social Sciences
W2087877214,Epidemiology of intraocular pressure in a population screened for glaucoma.,Health Sciences
W4292236279,Of Gods and Men,Social Sciences
W4214759276,Spies in Arabia,Social Sciences
W2154315489,“Suffering” 1: Commodification of Music and the Effects of 1980 Military Coup On the Music Industry in Turkey,Social Sciences
W1028692216,Long-lasting effects of sedentarization-induced increase of fertility on labor force proportion in an Arab socieity: a case study in south Jordan.,Health Sciences
W3083642485,Lethal provocation: the Constantine murders and the politics of French Algeria,Social Sciences
W2750864759,Offline: Terrorism and Syria—“a crisis of the world”,Health Sciences
W2010305659,Prospective scenarios for the adoption of sustainable power generation technologies in United Arab Emirates,Physical Sciences
W2874425688,"Attagenus yemensis sp. nov., a new species from Yemen (Coleoptera: Dermestidae: Attageninae).",Life Sciences
W1474688454,The Arab-Israel Conflict in Perspective,Social Sciences
